"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",-7899.45386,-7904.5394,165.608999190272,246.675358650001,-8122.242955,-7687.028225,2.13126217620617,1.44134498435701,17.3113067563557
"ksi",0.007347048796,0.0068086714,0.00270190350734981,0.00338116159185,0.00423343031,0.0112935172,2.13126217620617,1.45562032928162,16.4026619177055
"sigma[1]",16.31345009,16.0841425,2.13891222208737,2.4013472049,13.1380621,19.4764244,1.02873054821113,15.2017658708825,49.1824296170839
"sigma[2]",17.67926493,17.3556215,2.86471882738605,2.2689443532,13.04123565,21.97299235,1.04756341783007,11.1924342771436,31.5354895261113
"sigma[3]",18.91673922,18.3773,3.16714112734759,2.4712288146,14.5997064,23.5343328,1.04041859368642,22.4379371899461,13.4809450967877
"sigma[4]",19.9454007,19.944475,3.41634507118298,3.7272504696,15.06957695,26.30921645,1.10810408504723,15.9454245411468,58.361007520573
"sigma[5]",17.47181098,17.4760045,3.13834412811164,2.5019067738,12.73740105,23.2813501,1.08554103066998,11.8145343630364,13.4086406374851
"sigma[6]",18.06519685,17.7975345,2.38007329785041,2.128776384,14.8001715,23.2035276,1.24148228979408,3.38056874238048,17.0051501311826
"sigma[7]",17.87058187,17.5744495,2.67291030174533,2.592978444,14.10223385,22.3633854,1.0206003732945,16.9407802758957,30.8127412685973
"sigma[8]",19.29378781,19.129251,2.99953400049527,3.1463655657,14.9694649,24.12194025,1.10408793913103,13.3967793049291,17.323302316373
"sigma[9]",16.50983252,16.111793,2.73950816225475,2.3885775711,13.0688877,22.230313,1.25278955855657,3.61087964558874,30.6204069389592
"sigma[10]",17.20034914,17.0495365,3.21642995406958,3.716485311,12.1214064,22.0747683,1.0339791427886,11.2919170278802,40.5548566509965
"sigma[11]",17.41298422,16.870927,2.20560405477278,1.8303519843,14.295427,21.66760965,1.02183134449194,30.9127469308006,71.2874531148375
"lambda[1]",1.073328800077,1.1411884,0.612450831193294,0.849211092891,0.0355425675,1.884181215,1.09392154012002,8.96906718654706,24.169839985794
"lambda[2]",1.076868998,1.1072567,0.574467345133944,0.78133828017,0.223001588,1.891491485,1.00013632553789,27.42501797816,42.6630649508764
"lambda[3]",1.16077586531,1.17886365,0.486382712624028,0.56669545821,0.344232457,1.89362356,1.0031107919975,31.3794012682657,49.8568790552336
"lambda[4]",1.28386951549,1.46882605,0.624954990491327,0.66662321712,0.11590650835,1.961883635,1.00938117335118,15.9093327881141,41.4519726217027
"lambda[5]",1.0383778229,0.99648106,0.58364988352408,0.812244952659,0.132869188,1.88163767,1.03936635441311,19.3193434434824,12.7390522145153
"lambda[6]",1.17685009549,1.29548065,0.51884919967205,0.634658324055,0.350071108,1.889260865,1.01128923710455,22.7211119351531,42.2090895403111
"lambda[7]",1.12153170021,1.1714507,0.577246239341424,0.69092466198,0.1087905105,1.887698015,1.00845586983331,35.723370054189,43.9228175685244
"lambda[8]",1.031412380758,1.0515942,0.544572946868272,0.649602939468,0.1489791172,1.83203762,1.21017340783165,16.954746636069,13.0721046622061
"lambda[9]",1.060383379318,1.2367895,0.583616773293806,0.68459440476,0.0699634772,1.83830638,1.0005951169577,24.7721501293468,21.0246288509397
"lambda[10]",1.2268219832,1.4005953,0.594664101670806,0.712791729531,0.24816488,1.94780651,1.00638798106389,38.5297768788087,31.7007288654679
"lambda[11]",1.02294459726,1.0404492,0.528853445284757,0.666983525985,0.2864697575,1.850975475,1.03164025084598,43.1461820242902,20.2078521939953
"mu[1]",-1.1701100569,-1.1690373,0.265283247687836,0.296091128298,-1.596295145,-0.795775469,1.02580590523619,9.53686425693418,34.3628470914159
"mu[2]",-0.107445042886,-0.34082949,1.71025635448345,1.556768703273,-2.78156082,2.90020805,1.03004086144922,12.5867625357585,21.5942744323791
"mu[3]",-1.247527615,-1.2429558,0.115706620851665,0.12363082641,-1.42979031,-1.07092883,1.12630383113614,34.5601075366549,17.3473433782712
"mu[4]",0.087966576642149,0.0646763975,0.212620028432018,0.1830524292072,-0.261066599,0.4568115245,1.07145733422552,25.1878675696877,37.5549801362088
"mu[5]",-0.8983548421,-0.842148695,0.555999826179965,0.616824914433,-1.684602525,0.116583194,1.10276511264608,10.9334970472108,21.0246288509397
"mu[6]",2.330365358,2.3115455,0.35035951073005,0.35077937937,1.809491165,2.91577285,1.25332410683503,16.8592916924336,30.8992306722159
"mu[7]",1.49646686627,1.4179999,1.00496088819267,0.894460400715,-0.0278040885,3.46915834,1.04378494381873,15.4739061045791,52.4502744151648
"mu[8]",0.612440144,0.59570806,0.229576069305621,0.203973847035,0.207361272,0.960847735,1.03790906254639,17.2021842511352,43.7970546868537
"mu[9]",0.129931208652,0.13367751,0.19138580850899,0.2082935637384,-0.1744639375,0.425495172,1.02977403065029,13.9683427204599,33.9768826539676
"mu[10]",1.72528807357,1.7021645,0.940667167400653,1.00500427986,0.367407298,3.31224133,1.00916413100362,19.5117872867857,29.7051827001505
"mu[11]",-2.080160751,-2.13699655,0.433797687146068,0.42965362524,-2.728833625,-1.24106002,1.04034811677075,11.0958581835341,13.7351856212228
"mu_t[1,1]",1.154916026,1.15603395,0.0204222995529502,0.0227597632500002,1.12286818,1.18467573,1.31344825131585,3.01147008204176,56.8419098881722
"mu_t[2,1]",-0.09547693907,-0.0952460205,0.0231063961837995,0.0221649285627,-0.1308168875,-0.06077638935,1.13556197269141,6.95714714941424,42.4389398926035
"mu_t[3,1]",1.301803707,1.29736635,0.0583360441243995,0.0556284122099999,1.22359086,1.413907425,1.22280688294058,7.11997925336489,21.0246288509397
"mu_t[4,1]",-0.2860519446,-0.24319608,0.10759435531022,0.06634123503,-0.4868199255,-0.17082064,1.36449309632482,2.4237373069296,15.0137268359643
"mu_t[5,1]",0.760612625,0.75979549,0.0808139184123995,0.088387326531,0.632733718,0.874281235,1.81281991202761,1.59069323122971,21.9656081335508
