"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"lp__",3081.479203,3113.2901,154.217573781047,193.40769042,2840.696035,3286.37878,2.08199043052038,1.42074372820759,19.4228634850166
"ksi",0.015985181753,0.013869217,0.0056599706788132,0.0051751272363,0.009763152825,0.0262976038,2.08768666014429,1.41989357003052,24.3582350718817
"sigma[1]",32.84646073,24.9896365,18.3179696661245,12.2196455388,12.81275785,65.78338725,1.38915494366262,2.35925489607405,33.5864886354289
"sigma[2]",25.66287912,24.7060205,6.5087394217496,6.0567375351,16.35417225,37.80866045,1.11249376029874,9.83647496721567,56.739882711418
"sigma[3]",23.07941027,23.358264,5.19251458715636,5.8371830076,14.4419101,30.77713195,1.08151274585236,14.8081754811554,34.3628470914159
"sigma[4]",23.13368482,23.20696,5.54239164732869,5.4834605931,15.70442845,30.6857213,1.0769677445592,10.2493009944497,21.3466699194926
"sigma[5]",26.27695513,25.9091655,8.91257533074795,10.7186798313,13.53474495,40.82227635,1.48723326639323,2.04288857348896,33.8817424896137
"sigma[6]",44.50639674,43.1796745,14.2359625102588,14.8816849734,24.7433057,71.05299025,1.40391130195067,2.57475813947281,23.8517105083822
"sigma[7]",40.9397316,41.0540325,11.8008884453318,12.8462997873,23.6744292,59.63219775,1.01165550858721,12.3915372189011,21.5942744323791
"sigma[8]",24.130118218,24.564757,7.035972804376,6.0599651553,11.61100465,33.90700155,0.996244790366091,19.0233256911283,13.4809450967877
"sigma[9]",26.51492303,25.6215525,6.39252430767418,7.2751723149,17.2670802,37.871726,1.38729674232603,2.55456294144796,56.8419098881722
"sigma[10]",30.58312647,30.01952,8.3971832116772,8.8225382133,14.41848725,42.9222842,1.09168996009127,8.55749622592397,13.0041082366429
"sigma[11]",35.04399573,33.39027,13.8795079070727,17.2290218016,15.6310041,58.729458,1.1260992261645,6.21380937708153,43.0928342772714
"lambda[1]",0.87925790534,0.88651225,0.524644828193579,0.57671635161,0.0720572024,1.764251025,1.03535132622357,23.1519282744061,17.1333463873115
"lambda[2]",1.21578265853,1.28277065,0.540667128068522,0.678534373629,0.251107493,1.92755097,0.99990509127148,37.0856450711185,31.7839996054474
"lambda[3]",1.0157756844,0.967650375,0.510012979866405,0.577412751069,0.1920605435,1.836224405,0.9929199203769,42.9176035914769,33.8817424896137
"lambda[4]",0.839072941905,0.806999405,0.571687405646022,0.617901756465,0.06129241985,1.914700605,0.99144128241996,31.3349182092805,31.7839996054474
"lambda[5]",1.1210433236,1.14521745,0.501254980894876,0.661887399831,0.34312728,1.83655848,1.00035073419387,58.7333543091831,98.4042014594401
"lambda[6]",1.15142632815,1.3284662,0.599475251169824,0.715561426482,0.1421807669,1.925064015,1.00882707587475,39.2549814538342,28.8551199465823
"lambda[7]",0.83734811314,0.757211235,0.603112460538685,0.779646655809,0.07923613565,1.86678147,1.05814291406927,45.5024864415473,36.2769485903813
"lambda[8]",1.104584645732,1.2438779,0.655483838616165,0.797135397996,0.0188637523,1.941784535,0.994904952346912,28.108415846052,34.362847091416
"lambda[9]",1.0009994565,1.003072455,0.562301482394304,0.743789544855,0.191251813,1.827158285,1.01650661678037,29.1623058860567,51.5338182396663
"lambda[10]",0.979448610246,1.08394715,0.625038610899323,0.765367008735,0.05878435305,1.859940775,1.00377858959412,16.3805015595837,21.0246288509397
