"","change","no_change","x","y","t1","t2","taxon","mag"
"1","no_change","no_change",-59000,862000,200,300,"ASH",0.00529515102124659
"2","no_change","no_change",-59000,886000,200,300,"ASH",0.00593706998177047
"3","no_change","uncertain",-59000,910000,200,300,"ASH",0.0064198728407472
"4","no_change","no_change",-35000,862000,200,300,"ASH",0.0055671137958236
"5","no_change","no_change",-35000,886000,200,300,"ASH",0.00643433272174107
"6","no_change","uncertain",-35000,910000,200,300,"ASH",0.00721371616111369
"7","no_change","uncertain",-35000,934000,200,300,"ASH",0.00802881814660819
"8","no_change","no_change",-35000,958000,200,300,"ASH",0.00758773734202135
"9","no_change","no_change",-35000,1078000,200,300,"ASH",0.000640837426355655
"10","no_change","no_change",-35000,1102000,200,300,"ASH",-3.50233396403746e-05
"11","no_change","no_change",-35000,982000,200,300,"ASH",0.00525208279909238
"12","no_change","no_change",-35000,1006000,200,300,"ASH",0.00279036615544583
"13","no_change","no_change",-11000,862000,200,300,"ASH",0.00523440398760471
"14","no_change","no_change",-11000,886000,200,300,"ASH",0.00604063883662229
"15","no_change","uncertain",-11000,910000,200,300,"ASH",0.00707157779853251
"16","no_change","uncertain",-11000,934000,200,300,"ASH",0.00839498936890946
"17","no_change","uncertain",-11000,958000,200,300,"ASH",0.00820440698236487
"18","no_change","no_change",-11000,982000,200,300,"ASH",0.00543531197364845
"19","no_change","no_change",-11000,1006000,200,300,"ASH",0.00245895010549063
"20","no_change","no_change",-11000,1030000,200,300,"ASH",0.000765404381437091
"21","no_change","no_change",-11000,1054000,200,300,"ASH",0.000407222112871927
"22","no_change","no_change",-11000,1078000,200,300,"ASH",0.00139189141172711
"23","no_change","no_change",-11000,1102000,200,300,"ASH",-0.000165410897536243
"24","no_change","no_change",-11000,1126000,200,300,"ASH",-0.000510115016811271
"25","no_change","no_change",-11000,1150000,200,300,"ASH",0.00103985547373905
"26","no_change","no_change",-11000,1174000,200,300,"ASH",0.00300368925616898
"27","no_change","no_change",-11000,1198000,200,300,"ASH",0.00483945343281168
"28","no_change","no_change",-11000,1222000,200,300,"ASH",0.005726029409308
"29","no_change","no_change",-11000,1246000,200,300,"ASH",0.00636382791647661
"30","no_change","no_change",-11000,1270000,200,300,"ASH",0.0066837661847512
"31","no_change","no_change",-11000,1294000,200,300,"ASH",0.00599143852643287
"32","no_change","uncertain",-11000,1318000,200,300,"ASH",0.00422743770423151
"33","no_change","uncertain",-11000,1342000,200,300,"ASH",0.00143274166090603
"34","no_change","uncertain",-11000,1366000,200,300,"ASH",-4.84599973712727e-06
"35","no_change","uncertain",-11000,1390000,200,300,"ASH",0.000141364540546264
"36","no_change","uncertain",-11000,1414000,200,300,"ASH",-0.000417635457821595
