"","change","no_change","x","y","t1","t2","taxon","mag"
"4","change","uncertain",-11000,1150000,300,1600,"OAK",-0.0789210508868656
"5","change","uncertain",-11000,1174000,600,1600,"OAK",-0.114810130532038
"6","change","uncertain",-11000,1174000,600,2100,"OAK",-0.129710700438467
"8","change","uncertain",-11000,1198000,600,1600,"OAK",-0.127463465114225
"11","change","uncertain",-11000,1222000,600,1600,"OAK",-0.135887659539478
"13","change","uncertain",-11000,1246000,600,2100,"OAK",-0.165427520626757
"16","change","uncertain",-11000,1270000,300,2100,"OAK",-0.127175581945991
"17","change","uncertain",-11000,1270000,600,2100,"OAK",-0.163582626939505
"20","change","uncertain",-11000,1294000,600,2100,"OAK",-0.142477062214172
"29","change","uncertain",13000,1102000,600,2100,"OAK",-0.144937009335656
"30","change","uncertain",13000,1174000,600,1600,"OAK",-0.121260094514887
"31","change","uncertain",13000,1174000,600,2100,"OAK",-0.137020947598126
"33","change","uncertain",13000,1198000,600,1600,"OAK",-0.141831978870501
"34","change","uncertain",13000,1198000,600,2100,"OAK",-0.158937901831391
"36","change","uncertain",13000,1222000,300,2100,"OAK",-0.148349740774451
"37","change","uncertain",13000,1222000,600,1600,"OAK",-0.155928421015058
"38","change","uncertain",13000,1222000,600,2100,"OAK",-0.181554849756672
"40","change","uncertain",13000,1246000,600,2100,"OAK",-0.196656026446222
"43","change","uncertain",13000,1270000,300,2100,"OAK",-0.160211976389036
"44","change","uncertain",13000,1270000,600,2100,"OAK",-0.194914335610363
"46","change","uncertain",13000,1294000,600,2100,"OAK",-0.168161241462614
"60","change","uncertain",37000,1006000,300,1100,"OAK",-0.125660524751556
"61","change","uncertain",37000,1030000,300,1100,"OAK",-0.1502625541045
"62","change","uncertain",37000,1030000,300,1600,"OAK",-0.167553354871601
"63","change","uncertain",37000,1030000,600,1600,"OAK",-0.116747935265922
"64","change","uncertain",37000,1054000,300,1600,"OAK",-0.183636028185322
"65","change","uncertain",37000,1078000,300,1600,"OAK",-0.174574817043104
"66","change","uncertain",37000,1078000,300,2100,"OAK",-0.165038223219023
"67","change","uncertain",37000,1078000,600,1600,"OTHER.HARDWOOD",0.0979196711283232
"69","change","uncertain",37000,1102000,300,1600,"OAK",-0.160282258080821
"72","change","uncertain",37000,1150000,600,1600,"OAK",-0.117972850022467
"73","change","uncertain",37000,1150000,600,2100,"OAK",-0.12092323588556
"74","change","uncertain",37000,1174000,600,1600,"OAK",-0.123183804204558
"75","change","uncertain",37000,1198000,300,2100,"OAK",-0.130181105409286
"76","change","uncertain",37000,1198000,600,1600,"OAK",-0.131993046437089
"77","change","uncertain",37000,1222000,600,2100,"OAK",-0.184396841676157
"79","change","uncertain",37000,1246000,300,2100,"OAK",-0.179247074963585
"80","change","uncertain",37000,1246000,600,2100,"OAK",-0.206947039865615
"81","change","uncertain",37000,1246000,1100,2100,"OAK",-0.138330909324481
"84","change","uncertain",37000,1270000,300,1600,"OAK",-0.135383010141702
"85","change","uncertain",37000,1270000,300,2100,"OAK",-0.182660762459582
"86","change","uncertain",37000,1270000,600,1600,"OAK",-0.164500520225004
"87","change","uncertain",37000,1270000,1100,2100,"OAK",-0.143518806124557
"89","change","uncertain",37000,1294000,600,2100,"OAK",-0.191026311862656
"91","change","uncertain",37000,1318000,600,2100,"OAK",-0.150445341424226
"94","change","uncertain",61000,838000,300,1600,"OAK",0.228467706604657
"95","change","uncertain",61000,838000,300,2100,"OAK",0.268405819698053
"96","change","uncertain",61000,838000,600,1600,"OAK",0.235346939658546
"97","change","uncertain",61000,838000,600,2100,"OAK",0.275285052751942
"98","change","uncertain",61000,838000,1100,2100,"OAK",0.175179270923775
"101","change","uncertain",61000,862000,300,1600,"OAK",0.216195681087673
"102","change","uncertain",61000,862000,300,2100,"OAK",0.25579493523885
"103","change","uncertain",61000,862000,600,1600,"OAK",0.227217167650324
"104","change","uncertain",61000,862000,600,2100,"OAK",0.266816421801501
"105","change","uncertain",61000,862000,1100,2100,"OAK",0.17161023071809
"110","change","uncertain",61000,886000,300,2100,"OAK",0.188198764565183
"111","change","uncertain",61000,886000,600,2100,"OAK",0.21098936645605
"112","change","uncertain",61000,886000,1100,2100,"OAK",0.146714996652948
"123","change","uncertain",61000,1006000,300,1100,"OAK",-0.156847418299639
"126","change","uncertain",61000,1030000,300,1100,"OAK",-0.162402436962626
"127","change","uncertain",61000,1030000,300,1600,"OAK",-0.165263772629061
"131","change","uncertain",61000,1054000,300,1100,"OAK",-0.16871541149854
"134","change","uncertain",61000,1078000,300,1600,"OAK",-0.182923081160536
"135","change","uncertain",61000,1078000,600,1100,"OAK",-0.129851942004146
"136","change","uncertain",61000,1078000,600,1600,"OAK",-0.158077453849254
"137","change","uncertain",61000,1078000,600,2100,"OAK",-0.126251246478542
"141","change","uncertain",61000,1102000,300,1600,"OAK",-0.149387881919561
"145","change","uncertain",61000,1126000,600,2100,"OAK",-0.0822133689376086
"148","change","uncertain",61000,1150000,600,2100,"OAK",-0.105975399062553
"150","change","uncertain",61000,1246000,300,2100,"OAK",-0.127751204332147
"151","change","uncertain",61000,1246000,600,2100,"OAK",-0.14561319484222
"153","change","uncertain",61000,1270000,600,2100,"OAK",-0.168335543266142
"155","change","uncertain",61000,1294000,300,2100,"OAK",-0.164558031920722
"156","change","uncertain",61000,1294000,600,2100,"OAK",-0.184830997547555
"158","change","uncertain",85000,838000,300,1600,"OAK",0.252000102487457
"159","change","uncertain",85000,838000,300,2100,"OAK",0.315855264558187
"160","change","uncertain",85000,838000,600,1600,"OAK",0.268957727770245
"161","change","uncertain",85000,838000,600,2100,"OAK",0.332812889840975
"162","change","uncertain",85000,838000,1100,1600,"OAK",0.167825876263309
"163","change","uncertain",85000,838000,1100,2100,"OAK",0.231681038334039
"167","change","uncertain",85000,862000,300,1600,"OAK",0.277368729938049
"168","change","uncertain",85000,862000,300,2100,"OAK",0.341843579934726
"169","change","uncertain",85000,862000,600,1600,"OAK",0.298938955270854
"170","change","uncertain",85000,862000,600,2100,"OAK",0.363413805267532
"171","change","uncertain",85000,862000,1100,1600,"OAK",0.188984375192731
"172","change","uncertain",85000,862000,1100,2100,"OAK",0.253459225189409
"173","change","uncertain",85000,886000,300,1600,"OAK",0.198940083282546
"174","change","uncertain",85000,886000,300,2100,"OAK",0.280067085275096
"175","change","uncertain",85000,886000,600,1600,"OAK",0.24129459593034
"176","change","uncertain",85000,886000,600,2100,"OAK",0.32242159792289
"177","change","uncertain",85000,886000,1100,2100,"OAK",0.236757491369281
"181","change","uncertain",85000,958000,1100,2100,"OAK",0.156944622095825
"183","change","uncertain",85000,982000,300,1100,"OAK",-0.155988969894494
"184","change","uncertain",85000,982000,1100,2100,"OAK",0.141912277006364
"213","change","uncertain",109000,838000,300,1600,"OAK",0.163246373793717
"214","change","uncertain",109000,838000,300,2100,"OAK",0.246326593853428
"215","change","uncertain",109000,838000,600,1600,"OAK",0.183936756962118
"216","change","uncertain",109000,838000,600,2100,"OAK",0.267016977021829
"217","change","uncertain",109000,838000,1100,2100,"OAK",0.207204231800506
"219","change","uncertain",109000,862000,300,1600,"OAK",0.158402254221398
"220","change","uncertain",109000,862000,300,2100,"OAK",0.256029642860566
"221","change","uncertain",109000,862000,600,1600,"OAK",0.183930301980448
"222","change","uncertain",109000,862000,600,2100,"OAK",0.281557690619615
"223","change","uncertain",109000,862000,1100,2100,"OAK",0.224837641334353
"226","change","uncertain",109000,886000,300,2100,"OAK",0.260809374648644
"227","change","uncertain",109000,886000,600,1600,"OAK",0.188882785626913
"228","change","uncertain",109000,886000,600,2100,"OAK",0.302500883909249
"229","change","uncertain",109000,886000,1100,2100,"OAK",0.247444415695075
"233","change","uncertain",109000,910000,300,2100,"OAK",0.231195156847953
